model,accuracy,precision,recall,f1_score,roc_auc
XGBoost,0.87,0.8262411347517731,0.4577603143418468,0.5891276864728192,0.8700882852995651
LightGBM,0.8228,0.5512422360248447,0.6974459724950884,0.6157849089332177,0.8683624443591447
Random Forest,0.8296,0.5637480798771122,0.7210216110019646,0.6327586206896552,0.8674121957452938
Logistic Regression,0.7728,0.463980463980464,0.7465618860510805,0.572289156626506,0.8508297160404531
Decision Tree,0.7836,0.4792207792207792,0.724950884086444,0.5770132916340891,0.8358670007173736
